,movie,overview
1176,Молодая Виктория,отец виктория герцог кентский умереть когда дочь не быть и год в 11 год она осознать что она предначертать стать королева британский империя ещё совсем юный она суметь добиться уважение и любовь свой народ виктория пробыть на трон более 63 год большой чем любой другой британский монарх викторианский эпоха совпасть с период больший расцвет британский империя но для она самый счастливый год тот что она любить и быть любим
1177,Вердикт за деньги,на повестка день в суд присяжный дело молодой женщина селёст вуд против производитель оружие её право защищать известный адвокат но один из присяжный в время процесс объединять усилие с прелестный девушка чтобы получить контроль над весь присяжный ставка очень высокий и поэтому нечестный присяжный не остановиться ни перед чем
1178,Темный рыцарь: Возрождение легенды. Часть 1 (видео),пройти 10 год с тот пора как стареть бэтмена уйти в отставка готэма в упадок и беззаконие теперь когда город так нужный он герой бэтмена наконец возвращаться в компания кэрри келли девушкисупергерой бэтмена решать очистить улица от банда мутант который наводнить готэма
1179,Вечерний квартал (сериал 2005 – ...),как и всегда мы ждать полтора час который не только поднять настроение и продлить жизнь но и напомнить зритель российский телеканал давно забытый они жанр политический сатира
1180,Алиса в стране чудес (мини-сериал),алиса вполне современный девушка она заниматься дзюдо и у она есть любимый но тот ли он за кто себя выдавать в страна чудо пройти 150 год после последний победа алиса и разгром королева но всё давно уже не так в это сказочный королевство мир править казино который выкачивать из похитить в реальный мир человек эмоция кто смочь противостоять королева червь
1181,Ограбление по-итальянски,джон бриджер всегда уметь спланировать идеальный ограбление вместе с свой команда опытный бандит он провернуть не один дело но теперь решить уйти на покой впереди у бриджер последний задание кража золотой слитковый в который принимать участие инсайдер стив водитель роба взрыватель левый ухо технарь лайла и чарли верный друг бриджер и второй планировщик в они команда ограбление изящный и быстрый быть разыграть как по нота но после он завершение веселие преступник быть омрачить предательство
1182,Жадность,жадность часто толкать на неблаговидный поступок в погоня за вожделенный деньга это отлично понимать старый лукавый миллионер джо мактигнуть у он нет свой ребёнок и прямой наследник зато есть куча дальний и близкий родственник стая кружиться вокруг он в надежда отхватить лакомый кусок от дядюшкин наследство старик играть с они как кошка с мышка он нанимать молоденький симпатичный сиделка молль ричардсон и явно к она благоволить в стан родственник смятение молль прямой и явный угроза они план надо действовать
1183,Вороны: Начало,судзуран школа за весь история который ни один даже самый борзый школьник не суметь забраться на самый верх дабы управлять остальной но однажды в свой стремление завоевать воронь школа схлёстываться двое сэридзав который держать весь в страх уже не первый год и новичок гэндзь жажда власть вести они к последний бой и этот путь пролегать через покорение более слабый мордобой и подстава но сколько бы ни быть в человек жестокость человеческий чувство тоже жить в они есть тут место и дружба и самопожертвование и сплочённость без который не мочь существовать никакой система но по закон жанр должный остаться только один
1184,Тайный дневник девушки по вызову (сериал 2007 – 2011),ханна совсем не такой как казаться на первый взгляд с вид успешный законопослушный молодой особа любящий повеселиться с друг но она же одновременно и бэлля один из самый высокооплачиваемый элитный девушка по вызов в лондон у ханна и бэлля один и тот же цель они любить секс они любить деньга
1185,Демон против демонов (сериал),обречь жить как монстр и как человек данте сын демонарыцарь спард должный провести свой жизнь в борьба с сила тъм но данте это более чем устраивать
1186,Письма с Иводзимы,1945 год тихоокеанский театр военный действие история японский солдат который держать оборона остров иводзима и сражаться с превосходящий сила американский войско
1187,Семейка Аддамс,чёрный комедия о колоритный семейка обитать в не менее колоритный дом глава семья гомес аддамс очень самоуверенный и довольно импульсивный тип который четверть век тот назад страшно поругаться с свой старший брат фестер после что тот пропасть без вести всё попытка отыскать он быть безуспешный но вот однажды на порог фамильный особняк появляться некто очень похожий на фестер но состояться ли триумфальный возвращение в семья блудный брат
1188,Уилфред (сериал 2011 – 2014),сюжет строиться вокруг молодой человек по имя райан который ухаживать за девушка хозяйка пёс по кличка уилфред пёс и молодой человек не нравиться друг друг с первый взгляд дело осложняться тем что вместо собака райан видеть человек в собачий костюм который с они разговаривать
1189,Перед закатом,когдато давно в середина девяностый случайный встреча джесси и селина подарить молодой человек несколько восхитительный и трогательный час в предрассветный вена спустя девять год они снова предстоять увидеть друг друг теперь у они в распоряжение несколько час в предзакатный париж в течение который необходимо решить какой стать они завтра
1190,Дочь,в небольшой провинциальный городок жить старшеклассница инна с папа и маленький брат она жизнь меняться когда в школа приходить новый девочка маша недавно переехать из другой город между они завязываться дружба тем время в город орудовать серийный убийца жертва который уже стать несколько школьница
1191,Королева Марго,август 1572 год франция раздирать религиозный война чтобы восстановить мир в страна прекрасный и гордый принцесса марго сестра католический король карла ix должный выйти замуж за протестант генрих наваррский а после свадьба произойти кровавый резня варфоломеевский ночь организовать жестокий и коварный екатерина медичи погибнуть тысяча протестант а один из они тяжело ранить дворянин по имя ла моль в отчаянный попытка спасти свой жизнь постучаться в дверь марго
1192,Последний подарок,джейсон избаловать плейбой купаться в деньга свой супербогатый дедушка говард стивенс что не мешать он ненавидеть свой благодетель однако старик покидать этот мир и после свой смерть оставлять джейсон неожиданный подарок юноша получить наследство только если справиться с двенадцать задание который для богач с претензия стать испытание на грань возможный джейсон ждать 12 незабываемый урок жизнь сдать ли он самый трудный экзамен который придумать для он хитрый говард стивенс
1193,Иоанна – женщина на папском престоле,в тайный хранилище ватикан сокрытый история запретить страсть и интрига держаться в секрет католический церковь более тысяча год хотя официально ватикан до сей пора не признать тот факт что два год на святой престол пребывать женщина легенда о это бытовать до сей пора год 814 от рождество христов 28 январь умирать карл великий в тот же день рождаться иоанн страстный натура уметь любить рисковать и побеждать
1194,Гудини (мини-сериал),история восхождение к слава гарри гудини он путь от ребёнок из нищий семья до великий иллюзионист
1195,Кейт и Лео,сквозь прореха в время лео герцог олбанский попадать в будущее а точнее в современный ньюйорк обаятельный джентльмен xix столетие неожиданно оказываться в стремительный мир где успешно завоёвывать высота деловой женщина кейт маккей невероятный случиться они встретиться теперь лео нельзя оставлять без присмотр ни на минута в всякий случай до тот пора пока он не смочь вернуться обратно
1196,Стрела (сериал 2012 – ...),после кораблекрушение плейбой миллиардер оливер куин пропадать и считаться погибший в течение пять год после что он обнаруживать живой на затерянный остров в тихий океан когда он возвращаться домой в старлингсити он предать мать мойра столь любимый сестра теа и хороший друг томми приветствовать он дом но они видеть что оливер измениться после испытание на остров хотя оливер скрывать правда о человек который он стать
1197,Мышиная охота,брат ларс и эрня шмунц не придавать особый значение унаследовать они старый полуразрушить особняк до тот пора пока они не узнавать что они ветхий недвижимость стоить миллион но есть один проблема чтобы продать дом брат должный избавиться от он единственный и упрямый обитатель маленький но очень цепка мышь то что поначалу казаться детский игра становиться настоящий грандиозный битва
1198,Я так давно тебя люблю,джульетта выпускать из тюрьма после 15 год заключение за всё это время она ни раз не видеться с свой родственник тот не хотеть иметь с она никакой дело она младший сестра леа приглашать джульетта пожить к себя она жить в нанси с муж люк и два приёмный дочь долгий заключение джульетта и больший разница в возраст сестра делать они практически чуждый друг друг женщина но тем не менее когда социальный работник связаться с леа по повод джульетта тот ни секунда не раздумывать согласиться предоставить сестра жильё
1199,Доктор Живаго (ТВ),это фильм о любовь о россия о русский интеллигенция через переплетение множество судьба показываться драматический история несчастный любовь доктор живаго который никак не мочь разобраться в свой любовный чувство к два женщина тон и ларь мелькать людская тень оставлять лишь смутный очертание отдельный человеческий судьба неразрывно связанный с революция война лишение
1200,Страна глухих,рита вынудить скрываться её друг алёша исчезнуть проиграть в рулетка чужой деньга её спасать и прятать у себя глухой танцовщица ночной клуб яя жить единственный мечта накопить деньга и уехать в некий сказочный страна где жить только глухой человек а поэтому царить добро и справедливость неожиданно девушка оказываться в центр жестокий столкновение два клан мафия глухой и слышать
1201,Послание в бутылке,тосковать по умерший жена одинокий гаррет блейк зарабатывать на жизнь починка яхта починить поломать жизнь другой ремесло но так быть до тот пора пока тереза осборн не приехать в он деревня в северный каролина тереза развести и тоже очень одинокий она заниматься журналистский расследование для чикаго трибьюн и знать что гаррет автор послание который она найти в бутылка на пляж в кейп код и это послание затронуть самый сокровенный струна её душа
1202,Генсбур. Любовь хулигана,серж генсбур широко известный весь как гениальный поэт шансонье киноактёр режиссёр и хулиган в он объятие побывать с десятка самый красивый женщина франция 607080ха год от джейн биркина до брижитта бардо с каждый из который он записать по альбом он играть с катрин денев и жерар депардье в один фильм делать неприличный предложение уитня хьюстон в прямой телеэфир и вырастить красавицудочить шарлотта недавно получить каннский пальмовый ветвь за роль в антихрист
1203,Школа мертвецов (сериал),страшный зараза превращать человек в зомби вырваться на свобода и охватить япония беда неслышно подкрасться и к частный школа фудзимь лишь немногие школьник и учитель смочь сбежать от толпа живой мертвец старшеклассник такаси комуро быть вынудить убить хороший друг который превратиться в зомби теперь парень готовый на всё чтобы защитить рэй миямото девушка пасть товарищ вместе с другой выжить они отправляться на поиск член свой семья попутно пытаться выяснить причина этот масштабный пандемия
1204,Ценности семейки Аддамс,у гомес и мортиша аддамсова рождаться сын они нанимать для уход за новорождённый няня дебби джелинск который соблазниться богатство дядя фестер влюблять он в себя и начинать плести интрига против остальной семья юный уэнсдить аддамс обнаруживать коварный замысел няня и начинать слежка за она но вскоре за излишний любознательность уэнсдить и пагслить ссылать в детский лагерь
1205,Чернобыль: Зона отчуждения (сериал),пятеро молодой человек прыгать в старый волга и отправляться на поиск вор час ранее украсть из квартира родитель главное герой восемь миллион рубль грабитель обычный московский айтишник вместо тот чтобы залечь на дно тут же записывать видеоотчёт в который сообщать что финальный точка он путешествие чернобыльский аэс и город припять
1206,Взрыв из прошлого,лосанджелес 1962 год противостояние ссср и сша достигать свой апогей и приводить к карибский кризис а мир находиться на порог ядерный война принять авиакатастрофа за ядерный удар талантливый изобретатель кэлвин уэббер вместе с беременный жена хелен укрываться в специальный подземный бункер дверь который открыться лишь через 35 год а чуть поздний в убежище рождаться они сын адам спустя 35 год дверь бункер открываться и адам отправляться пополнить припас попутно изучать новый для себя мир
1207,Открой глаза,красивый парень и богатый наследник сезара однажды влюбиться уводить девушка у свой друг и словно в наказание судьба сыграть с они злой шутка он лицо стать безобразный но происходить странный он прежний жизнь не утратить безвозвратно иногда он попрежний красивый и счастливый что это параллельный жизнь или один из они только сон где теперь реальность
1208,Три цвета: Белый,после развод польский мигрант планировать как поквитаться с бывший супруг
1209,Ледниковый период 2: Глобальное потепление,саблезубый тигр диего мамонт манфред грызун скрэта и ленивец сид дожить до глобальный потепление с один сторона это круто ледяной пустыня превратиться в настоящий аквапарк где можно принимать тёплый ванна и резвиться под сень струя с другой не очень стремительный паводок идти прямиком к они родный долина теперь ответственный животное прийтись спасать сосед от потоп что довольно проблематично строить ковчег совершенно не из что кроме как из талый снег но не беспокоиться эвакуация разнообразный живность в сухой место пройти не менее суетливый смешно и успешно чем и прошлый операция по возвращение человеческий детёныш в лоно семья
1210,Бриллиантовый полицейский,непревзойдённый эксперт по сейф и храниться в они драгоценность майлс логан выходить из тюрьма и сразу направляться в полиция незадолго перед арест он спрятать бесценный бриллиант в строиться здание который вскоре превратиться в полицейский участок чтобы проникнуть на вражеский территория и вернуть украсть майлс становиться служитель закон и как назло он приходиться участвовать в настоящий расследование
1211,Шрек 2,шрэк и фиона возвращаться после медовый месяц и находить письмо от родитель фиона с приглашение на ужин однако тот не подозревать что они дочь тоже стать огром вместе с ослик счастливый пара отправляться в путешествие полный неожиданность и попадать в круговорот событие в время который приобретать множество друг
1212,Мегамозг,мегамозг самый гениальный и самый неудачливый злодей в мир вот уже много год он пытаться покорить метросити самый разнообразный способ но каждый такой попытка кончаться провал по вина супергерой по имя метромэн но злодей убивать супергерой и внезапно мегамозг лишаться цель в жизнь суперзлодей без супергерой единственный выход создать новый супергерой который он называть титан но титан решать что быть злодей куда интересный вот только он не хотеться править мир он желать он уничтожить мегамозг предстоять непростой выбор смочь ли злой гений стать герой спаситель человечество
1213,25-й час,в фильм описываться последний день свободный жизнь молодой бруклинец монтить брогана эдвард нортон осудить на семь год тюрьма за торговля наркотик остаться 24 час он проводить в компания свой родный друг деловой партнёр и любимый девушка натурель монтить мечтать в свой время стать пожарный но в итог ступить на роковой стезя наркодилер прощаться с прошлое и пытаться переосмыслить свой жизнь
1214,Водный мир,в далёкий будущее полярный снег растаять покрыть практически весь земля вода и хотя ходить легенда что гдеть остаться кусочек пригодный для жизнь сушить её до сей пора никто не смочь найти на атолл приплывать моряк он хотеть продать земля добыть при ныряние но он принимать за шпион курильщик самый опасный бандит водный мир при помощь девушка хелен и маленький девочка энола он удаваться избежать казнь взамен хелен просить отвезти они на суша
1215,Один прекрасный день,они встретиться и познакомиться на пристань один прекрасный день когда они ребёнок опоздать на школьный экскурсия на корабль популярный журналист джек тэйлор который бывший жена оставить дочка мэгга на уикэнд и архитектор мэлани паркер один воспитывать сын сэм день начаться с неприятность и грозить превратиться в настоящий кошмар у джек важный прессконференция а мелань нужно срочно сдавать проект оба не на кто оставить ребёнок и поневоле приходиться выкручиваться и выручать друг друг
1216,Чёрная дыра,в недалёкий будущее космический корабль терпеть бедствие в результат что совершать вынужденный посадка на отдалить планета погибать капитан часть команда и большинство пассажир выжить оказываться на жуткий и безжизненный планета который иметь три солнце изз что всё живой гибнуть в этот пустыня но как только планета погружаться в темнота появляться какиеть странный существо
1217,Маленький Манхэттен,ньюйорк самый романтичный место на свет даже если ты весь лишь десять год от род и ты влюбиться впервые в свой жизнь этот истина открывать для себя юный гэйба влюбиться в свой одноклассница розмари вообщеть он знать она очень давно но как и всё остальной девчонка она не вызывать у он никакой симпатия всё начаться когда они сделать спаррингпартнер в секция карате
1218,Адамовы яблоки,неонацист приговорить к общественный работа в церковь сталкиваться с крайне праведный священник
1219,Игра в имитацию,английский математик и логик алан тьюринг пытаться взломать код немецкий шифровальный машина enigma в время второй мировой война
1220,Сестры,дин и свет ненавидеть друг друг хотя в они течь один кровь выйти на свобода отец дина оказываться в тяжёлый ситуация бандит собираться похитить он ребёнок и он вынудить прятать оба девочка но убежище оказываться ненадёжный и ребёнок приходиться бежать столкнуться с жестокость жизнь девочка стать настоящий сестра
1221,Пробуждение (сериал),детектив майкл бриттен приходить в сознание после автокатастрофа с участие он жена ханна и сын рекс он сообщать что супруг погибнуть но сын удаться выжить проснуться на следующий утро майкл понимать что факт повернуться вспять и чтобы сохранить оба он близкий в живой он приходиться жить в два разный реальность с разный коллега по работа и разный проблема в жизнь
1222,Агора,александрия закат римский империя христианство набирать популярность и опираться на низ общество становиться политический сила в это переломный время жить философ математик и астроном гипатий иметь большой влияние на ум правитель
1223,Эйс Вентура: Розыск домашних животных,он хороший в свой дело единственный и неповторимый он эйс вентур детектив по розыск домашний любимец когда таинственный злоумышленник похищать дельфин по кличка снежинка талисман местный футбольный команда дельфин эйс тут же приступать к работа проявлять чудо изобретательность история принимать странный оборот когда похищать ещё и ведущий игрок дельфин теперь эйс приходиться разыскивать сразу два млекопитающее он сталкиваться нос к нос с акулойлюдоед спасать любимый команда и очаровывать женщина находиться ли он под прикрытие под огонь или под вода он обязательно найти то что искать
1224,"Человек, которого не было",1949 год сантароз калифорния молчаливый парикмахер эда крэйн неторопливо стричь клиент в свой салон в то время как он жена крутить шашни с свой босс галантерейщик больший дэйв который недавно скопить деньга на новый магазин внезапно эда выпадать возможность разбогатеть на зарождаться бизнес химический чистка одежда чтобы обзавестись капитал он шантажировать большой дэйв понимать что успех в жизнь он мочь добиться лишь пойти на крайний мера
1225,Рэкетир,в начало 1990ха саяна парень из алмаата и подавать больший надежда боксёр решить что дорога в жизнь можно пробить только кулак для молодой бандит всё складываться неплохо но наступать момент когда саяна начинать понимать что назад уже дорога нет что за всё в жизнь надо платить
1226,Хозяин морей: На краю Земли,время наполеоновский война военный парусник она величество сюрприз бороздить простор атлантика быть неожиданно атаковать огромный неизвестный корабль появиться из туман благодаря смелость и находчивость команда сюрприз удаваться уйти от смерть несмотря на тяжёлый повреждение и потеря капитан джек обри по прозвище счастливчик принимать решение преследовать враг и устремляться в погоня который увести он на край свет
1227,Королевский роман,действие картина происходить в начало 1770ха год в дания датский король кристиан vii страдать серьёзный психический заболевание предпочитать проводить время в притон копенгаген вызывать тем самый ненависть юный королева каролина матильда вскоре в свита король появляться молодой германский доктор иоганн фридрих струэнза суметь благотворно повлиять на кристиан vii и завоевать он доверие получить ряд государственный пост струэнза сближаться и с каролина матильда но королевамать юлиан мария не мочь смириться с такой положение дело
1228,Кадиллак Рекордс,в этот история о секс жестокость раса и рокнролл чикаго 1950ый кадиллак рекордс прослеживать захватывать но бурный жизнь некоторый музыкальный легенда америка включая мадди уотерс леонард чезз литтл уолтер хоулина уолф этта джеймс и чак берри
1229,Завтрак на Плутоне,действие происходить в 70ый год 20 век история о молодой трансвестит который жить в ирландия патрик браден незаконнорождённый сын священник жить в маленький городок под название париш бросить отвергнуть весь он прекрасно осознать что он белый ворона в свой родный ирландский городок патрик или китэн как он предпочитать чтобы он называть выживать здесь только благодаря свой ум остроумие и шарм в поиск мать он перебираться в лондон большой город манить он открывать неведать ранее возможность здесь китэн уже не надо столь усердно прятать от окружающий свой истинный сущность здесь пройти сквозь всевозможный приключение и острый момент он понимать уязвимость лондон и ощущать на себя весь правда большой и плохой мир но найти ли он любовь и счастие который так заслуживать
1230,Чистилище (видео),история о бой за больничный комплекс в грозный занятый российский солдат в глава с раненый полковник потерять глаз между они и командир подразделение армия ичкерия вестись диалог в эфир
1231,Metallica: Сквозь невозможное,сквозь объять хаос город фанат группа metallica пытаться доставить сумка на концерт любимый музыкант
1232,Матрица: Революция,пока армия машина пытаться уничтожить зион он житель из последний сила держать оборона
1233,Гриффины (сериал 1999 – ...),типичный американский семья член который способный разбить всё возможный стереотип а говорящий собака с сигарета и сухой мартини а грудной малыш мечтать поработить весь мир разве это отклонение это катарсис в каждый эпизод
1234,Живая плоть,ссориться с свой подружка виктор случайно ранита полицейский и отправляться в тюрьма через 4 год провести в заключение он узнать что тот самый полицейский стать известный баскетболист кумир и герой зритель с баснословный контракт да ещё и жениться на он бывший подружка елена
1235,Фрэнки и Джонни,джонни хороший парень который однажды оступиться и угодить за решётка когда джонни выйти на свобода он решить начать новый жизнь и встретить фрэнк фрэнк милый но одинокий молодой женщина который очень не везти в любовь она уже отчаяться найти свой прекрасный принц и встретить джонни
1236,Граница: Таежный роман (сериал),дальний восток 1970 гарнизон на граница с китай здесь у каждый свой история общий один всё попасть сюда по долг служба марина голощекино милый и добрый галя жечь умный и решительный альбина ворон экстравагантный и ранимый подруга в счастие и гора офицерский жена они помогать друг друг в это не женский мир где любовь и опасность идти рука о рука марина неожиданно встречать настоящий любовь о чем узнавать подруга но как сказать муж непростой и жестокий человек
1237,Страх и ненависть в Лас-Вегасе,два приятель отправляться в ласвегаснуть спортивный обозреватель рауль дюк ехать осветить знаменитый гонка минт 400 он спутник звать доктор гонзый и он адвокат обзор минт 400 изз непогода и отсутствие интерес у рецензент оборачиваться полный провал поэтому дюк и гонзый отправляться в казино
1238,Железная хватка,в это фильм рассказываться история 14летний девочка стареть судебный пристав рустер когберн и ещё один законник вместе они идти по след убийца отец девочка который вести в враждебный индейский территория
1239,Плутовство,чтобы отвлечь внимание общественность от сексуальный скандал связанный с президент сша срочно вызывать специалист по нештатный ситуация конрад брина брина решать инсценировать небольшой война и в свой очередь привлекать известный голливудский продюсер стенли мотс вдвоём они организовать шоу в мировой масштаб с истинно голливудский размах ну не мочь стенли мотс упустить этот редкий шанс удовлетворение свой профессиональный амбиция
